j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11
002_14,j2,0410.8000-0393.3000,j4,006002000000000,005001000000000,j7,j8,002,002003001001,40,55,15,85,10,25,30,45,10,25,10
002_15,j2,0521.0000-0201.3000,j4,001002000000000,004005000000000,j7,j8,002,002002008001,45,50,15,90,10,15,25,50,10,25,10
003_01,j2,0023.0300-0005.3300,j4,020147000000000,223097000000000,j7,j8,001,001006004002,55,40,65,35,55,50,45,50,75,40,45
003_02,j2,0382.7000-0358.9000,j4,011013000000000,017015000000000,j7,j8,002,002003001001,40,35,30,70,20,55,30,40,15,25,15
003_03,j2,0247.2000-0242.0000,j4,090084019124000,018062147000000,j7,j8,001,002001001003,55,30,55,45,55,45,55,50,45,55,35
003_04,j2,0083.6000-0072.1000,j4,019090100147000,097221000000000,j7,j8,001,001001001002,60,65,65,50,35,50,45,60,70,45,40
003_05,j2,0521.0000-0509.0000,j4,016036035203038,009030039000000,j7,j8,002,002002008003,45,20,25,75,40,25,55,45,15,50,15
003_06,j2,0375.0000-0374.0000,j4,053027061060084,062090019000000,j7,j8,004,001007001002,45,25,45,65,30,35,30,45,30,25,20
003_07,j2,0125.0000-0113.0000,j4,056057025019000,027018191000000,j7,j8,003,002005004002,45,40,30,55,15,20,65,40,25,65,30
003_08,j2,0009.0000-0003.3000,j4,097223147000000,221100090000000,j7,j8,001,002001001004,65,25,50,40,75,45,60,50,55,60,50
003_09,j2,0382.7000-0323.2000,j4,018009036203038,035030039000000,j7,j8,002,002002008003,45,30,35,65,40,30,55,45,25,50,20
003_10,j2,0259.5100-0252.1700,j4,087221222000000,090124147000000,j7,j8,001,002001001003,55,35,45,50,60,40,55,50,35,55,35
003_11,j2,0331.0000-0323.2000,j4,060062056053084,064061090000000,j7,j8,004,001007001002,45,25,40,65,35,35,35,45,30,30,15
003_12,j2,0290.1000-0252.1700,j4,001009036002000,003038203000000,j7,j8,002,002002008003,50,20,55,50,75,40,50,50,55,50,25
003_13,j2,0002.5800-0000.0117,j4,223097062147000,221100090000000,j7,j8,001,001006004002,60,35,75,30,65,70,30,55,80,30,45
003_14,j2,0295.0000-0272.3000,j4,087084124090000,062060064000000,j7,j8,004,001007001004,45,30,35,60,35,45,30,45,25,25,20
003_15,j2,0041.3000-0015.9700,j4,097222221000000,147100090000000,j7,j8,001,002001001003,60,35,55,45,70,45,55,55,50,60,45
004_01,j2,0419.2000-0358.9000,j4,018009036203038,035030039000000,j7,j8,002,002002003002,40,30,25,70,35,30,50,45,20,45,15
004_02,j2,0307.0000-0290.1000,j4,100062063255000,084060000000000,j7,j8,001,002004002001,35,25,20,75,25,15,40,40,12,35,15
004_03,j2,0508.0000-0505.0000,j4,031035202036000,030009016000000,j7,j8,001,002001002001,30,20,15,85,15,20,25,40,10,20,10
004_04,j2,0002.5800-0000.0117,j4,218220147000000,221097100000000,j7,j8,001,001001001001,55,30,70,35,30,85,20,50,65,20,30
004_05,j2,0458.4000-0443.8000,j4,018036009038000,016203035000000,j7,j8,002,002002003001,35,30,25,75,15,35,30,40,12,30,12
004_06,j2,0129.4000-0123.0000,j4,090100212147000,084097221000000,j7,j8,001,001001001002,55,45,75,40,40,65,30,50,85,25,30
004_07,j2,0307.0000-0300.9000,j4,022018036203000,025009035000000,j7,j8,002,002002003003,30,25,15,80,25,15,45,35,10,40,12
004_08,j2,0299.0000-0272.3000,j4,222100221000000,087147090000000,j7,j8,001,001001001001,55,40,55,50,30,50,35,50,55,30,25
004_09,j2,0295.0000-0272.3000,j4,060053062084064,061090124000000,j7,j8,004,001007001002,50,35,45,65,55,45,35,50,45,35,25
004_10,j2,0299.0000-0272.3000,j4,087090084000000,062060124000000,j7,j8,004,001007001002,45,30,35,70,40,35,35,45,25,35,20
004_11,j2,0508.0000-0505.0000,j4,001018203038000,016036009000000,j7,j8,002,002002003002,35,35,15,85,15,20,40,40,10,35,10
004_12,j2,0330.9000-0298.9000,j4,100060062063000,255254084000000,j7,j8,001,001001002001,55,30,30,60,35,45,45,50,60,35,15
004_13,j2,0157.3000-0145.0000,j4,019025017018000,036203177000000,j7,j8,003,002005004002,45,35,25,60,35,15,65,45,15,65,25
004_14,j2,0073.2000-0070.6000,j4,017018036203000,009038016000000,j7,j8,002,002002003003,50,40,65,40,45,50,40,45,70,40,30
004_15,j2,0002.5800-0000.0460,j4,097223062000000,221100084000000,j7,j8,001,001001001002,55,45,65,35,45,60,35,50,75,30,40
005_01,j2,0259.5100-0252.1700,j4,147220100000000,222255097000000,j7,j8,001,001006004002,50,45,30,65,35,25,65,55,18,60,35
005_02,j2,0508.0000-0505.0000,j4,031035202036000,030009016000000,j7,j8,002,002002003002,40,20,15,85,30,15,45,40,10,35,12
005_03,j2,0419.2000-0393.3000,j4,018009036038000,035203030000000,j7,j8,002,002002003001,45,30,25,75,20,40,40,45,15,35,15
005_04,j2,0247.2000-0242.0000,j4,087084090000000,062124147000000,j7,j8,001,002001001003,50,30,35,60,40,30,55,50,20,55,30
005_05,j2,0335.0000-0323.2000,j4,060062056053000,064061084000000,j7,j8,004,001007001003,45,20,35,65,45,35,35,45,35,30,20
005_06,j2,0237.0000-0227.0000,j4,100147255000000,062254084000000,j7,j8,001,002006004002,45,30,25,60,35,25,60,45,15,50,25
005_07,j2,0165.0000-0155.7000,j4,100147255000000,177254097000000,j7,j8,003,002005004002,45,35,25,60,25,15,65,45,12,65,30
005_08,j2,0070.6000-0066.0000,j4,090062060084000,053064097000000,j7,j8,005,001007001002,60,40,65,45,65,55,45,55,75,45,40
005_09,j2,0056.0000-0037.2000,j4,215090062000000,097221084000000,j7,j8,001,001001001002,55,40,70,35,60,65,35,50,80,35,45
005_10,j2,0295.0000-0272.3000,j4,087084053000000,090062124000000,j7,j8,001,002001001004,60,30,55,50,65,45,45,55,50,40,35
005_11,j2,0070.6000-0066.0000,j4,214062100000000,060084097000000,j7,j8,004,001007001004,50,25,35,70,45,35,45,45,25,45,25
005_12,j2,0247.2000-0242.0000,j4,019025036000000,018009203000000,j7,j8,002,002002003002,50,45,40,55,25,35,50,55,30,45,30
005_13,j2,0023.0300-0015.9700,j4,100090062000000,084097221000000,j7,j8,001,001001001002,55,40,70,35,55,60,30,50,75,35,40
005_14,j2,0315.2000-0299.0000,j4,053057062000000,060084064000000,j7,j8,004,001007001002,45,35,30,65,35,30,40,45,25,35,20
005_15,j2,0237.0000-0227.0000,j4,100147255000000,097254084000000,j7,j8,003,002006004002,40,30,20,65,20,15,55,40,12,50,25
006_01,j2,0068.6000-0066.0000,j4,115097147000000,097147000000000,j7,j8,001,002001001003,65,30,70,35,90,65,45,60,85,55,65
006_02,j2,0076.4000-0075.0000,j4,019090100147000,097221000000000,j7,j8,001,001001001002,55,60,60,50,45,60,40,55,65,45,35
006_03,j2,0247.2000-0237.0000,j4,018036197000000,199200000000000,j7,j8,002,002002003003,50,35,45,55,55,40,55,50,40,55,35
006_04,j2,0088.0000-0084.5000,j4,018036002003000,179188190193000,j7,j8,013,006005004007,55,40,35,50,45,25,75,55,30,75,40
006_05,j2,0259.0000-0252.0000,j4,097112114147000,157160150000000,j7,j8,001,007001001005,60,30,55,45,75,45,50,55,55,55,40
006_06,j2,0007.0000-0000.0100,j4,097112147150000,086087084000000,j7,j8,001,005001003006,55,55,60,45,40,45,55,55,65,60,50
006_07,j2,0272.0000-0251.9000,j4,053062056064000,080095066000000,j7,j8,004,008007002005,50,25,60,50,70,50,40,50,60,45,30
006_08,j2,0201.4000-0174.7000,j4,018036002003000,009198200000000,j7,j8,002,002002008003,55,40,65,40,70,55,65,50,75,65,45
006_09,j2,0052.0000-0048.6000,j4,053062056064000,084087090000000,j7,j8,005,006007002002,55,35,50,50,55,45,50,55,45,45,40
006_10,j2,0154.8000-0150.8000,j4,097112147150000,084086087000000,j7,j8,001,001001001002,65,55,80,60,45,75,25,55,90,25,30
006_11,j2,0147.2000-0145.0000,j4,097112147150000,084086087000000,j7,j8,001,003001001002,55,45,45,55,35,40,55,55,35,55,35
006_12,j2,0165.3000-0161.2000,j4,018036002003000,197199200000000,j7,j8,002,002002008002,45,55,75,45,15,60,35,45,85,40,25
006_13,j2,0076.0000-0073.0000,j4,097112147150000,084086087000000,j7,j8,001,008001001002,60,65,60,50,40,45,50,60,65,50,40
006_14,j2,0047.8000-0041.2000,j4,097112147150000,084087090000000,j7,j8,001,007001001005,55,30,55,45,65,50,45,55,50,50,35
006_15,j2,0126.0000-0122.0000,j4,097112147150000,084086087000000,j7,j8,001,008001001002,60,60,65,50,45,50,45,60,65,45,35
007_01,j2,0273.0000-0268.0000,j4,097112114147000,160150157000000,j7,j8,001,003001001002,50,40,65,45,35,55,30,50,60,30,25
007_02,j2,0015.0000-0012.0000,j4,097112114147000,160150157000000,j7,j8,001,003001001003,55,30,45,45,60,35,70,55,40,75,45
007_03,j2,0155.7000-0150.8000,j4,097112147150000,097112114147000,j7,j8,001,001001001002,60,40,65,45,60,75,35,55,70,35,25
007_04,j2,0155.7000-0145.0000,j4,097112147150000,084087090000000,j7,j8,001,007001001005,60,35,70,40,80,55,55,60,75,60,55
007_05,j2,0100.5000-0093.9000,j4,053062056064000,066067198000000,j7,j8,002,002007007003,60,25,75,35,85,60,50,60,85,55,50
007_06,j2,0155.7000-0150.8000,j4,097112147150000,084086087000000,j7,j8,001,001001001002,65,50,75,65,45,80,35,60,85,30,28
007_07,j2,0082.1000-0066.0000,j4,018036002003000,018036002003000,j7,j8,002,002002008003,60,35,75,40,85,65,60,55,85,65,45
007_08,j2,0155.7000-0150.8000,j4,018036002003000,179188190193000,j7,j8,013,006005004007,55,35,45,50,50,30,70,55,40,70,35
















